Act Name,Jurisdiction,Category,Procedural Element,Description,Section,Relevancy Scale
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Aboriginal Communal Fishing Licences Regulations,FISHERIES ACT,"",2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Aboriginal Communal Fishing Licences Regulations,Regulations Respecting Fishing Carried on in Accordance with Aboriginal Communal Fishing Licences,"",2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Aboriginal Communal Fishing Licences Regulations,"His Excellency the Governor General in Council, on the recommendation of the Minister of Fisheries and Oceans, pursuant to section 43Footnote * of the Fisheries Act, is pleased hereby to revoke the Aboriginal Fisheries Agreements Regulations, made by Order in Council P.C. 1992-1456 of June 26, 1992Footnote **, and to make the annexed Regulations respecting fishing carried on in accordance with aboriginal communal fishing licences, in substitution therefor.","",2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Short Title,1 These Regulations may be cited as the Aboriginal Communal Fishing Licences Regulations.,1,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Interpretation,"(a) fisheries for the fish and species of fish described in subsection 3(1) of the Quebec Fishery Regulations, 1990, in the waters referred to in that subsection, the Minister responsible in the Province of Quebec for the application of An Act respecting the conservation and development of wildlife, R.S.Q., c. C-61.1,",2,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Interpretation,"(a.1) fisheries in the non-tidal waters of Ontario, the Minister of Natural Resources for Ontario; and",2,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Interpretation,"(b) any other fishery, the Minister of Fisheries and Oceans. (ministre)",2,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Application,"(a) fisheries in Canadian fisheries waters in and adjacent to Ontario, Quebec, Nova Scotia, New Brunswick, Prince Edward Island, Newfoundland and the Northwest Territories;",3,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Application,(b) fisheries in the tidal waters in and adjacent to Manitoba;,3,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Application,"(c) fisheries in tidal waters in and adjacent to the Yukon Territory and fisheries in the Yukon Territory for fish of an anadromous stock of chum salmon, coho salmon, chinook salmon, pink salmon, sockeye salmon, rainbow trout, the family Coregonidae (whitefish and cisco) or Arctic char; and",3,1
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Application,(d) fisheries in the waters of the Areas enumerated and described in Schedule II to the Pacific Fishery Management Area Regulations and salmon fisheries in British Columbia.,3,1
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Communal Licences,4 (1) The Minister may issue a communal licence to an aboriginal organization to carry on fishing and related activities.,4,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Communal Licences,"(a) the persons who may fish under the authority of the licence, and",4,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Communal Licences,(b) the vessels that may be used to fish under the authority of the licence.,4,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Communal Licences,"(3) If the Minister does not designate the persons who may fish under the authority of the licence, the aboriginal organization may designate, in writing, those persons.",4,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Communal Licences,"(4) If the Minister does not designate the vessels that may be used to fish under the authority of the licence, the aboriginal organization may designate, in writing, those vessels.",4,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Communal Licences,"5 (1) For the proper management and control of fisheries and the conservation and protection of fish, the Minister may specify in a licence any condition respecting any of the matters set out in paragraphs 22(1)(b) to (z.1) of the Fishery (General) Regulations and any condition respecting any of the following matters, without restricting the generality of the foregoing:",5,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Communal Licences,(a) the species and quantities of fish that are permitted to be taken or transported;,5,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Communal Licences,"(b) the method by which and when the licence holder is to notify the Minister of designations, the documents that constitute proof of designation, when, under what circumstances and to whom proof of designation must be produced, the documents or information that designated persons and vessels must carry when carrying on fishing and related activities, and when, under what circumstances and to whom the documents or information must be produced;",5,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Communal Licences,(c) the method to be used to mark and identify vessels and fishing gear;,5,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Communal Licences,(d) the locations and times at which landing of fish is permitted;,5,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Communal Licences,(e) the method to be used for the landing of fish and the methods by which the quantity of the fish is to be determined;,5,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Communal Licences,"(f) the information that a designated person or the master of a designated vessel is to report to the Minister or a person specified by the licence holder, prior to commencement of fishing, with respect to where and when fishing will be carried on, including the method by which, the times at which and the person to whom the report is to be made;",5,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Communal Licences,(h) the maximum number of persons or vessels that may be designated to carry on fishing and related activities;,5,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Communal Licences,(i) the maximum number of designated persons who may fish at any one time;,5,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Communal Licences,"(j) the type, size and quantity of fishing gear that may be used by a designated person;",5,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Communal Licences,(k) the circumstances under which fish are to be marked for scientific or administrative purposes; and,5,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Communal Licences,(l) the disposition of fish caught under the authority of the licence.,5,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Prohibitions,7 No person carrying on fishing or any related activity under the authority of a licence shall contravene or fail to comply with any condition of the licence.,7,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Prohibitions,8 No person other than a designated person may fish under the authority of a licence.,8,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Prohibitions,9 (1) No person who is authorized to fish under the authority of a licence shall fish for or catch and retain any species of fish in any area of the waters referred to in subsection 3(1) during the close time beginning on December 29 and ending on December 31.,9,2
Aboriginal Communal Fishing Licences Regulations,Federal,Regulation,Prohibitions,(2) The close time established by subsection (1) is considered to be fixed separately and individually with respect to any species of fish found in any of the waters referred to in subsection 3(1).,9,2
Agricultural Land Commission Act,Provincial,Act,Application of other Acts,"2		  (1) This Act and the regulations are not subject to any other enactment, whenever enacted, except the Interpretation Act, the Environment and Land Use Act and the Environmental Management Act and as provided in this Act.",2,4
Agricultural Land Commission Act,Provincial,Act,Public hearing,"(3) For the purpose of providing the report and recommendations required under section 44, the board must conduct a public hearing to evaluate the probable agricultural, environmental, heritage, economic, cultural and social effects of any of the following if it is a matter that was before the commission at the time the order under section 40 made the referral:",43,4
Agricultural Land Commission Act,Provincial,Act,Report and recommendations,"(b) environmental and heritage values, but only if",44,4
Agricultural Land Commission Act,Provincial,Act,Land use regulations,"(a) that take into account agricultural, environmental, heritage, economic, cultural and social values, and",58,4
Agricultural Land Reserve Use Regulation,Provincial,Regulation,Definitions,"controlled environment structure means a structure that provides a controlled environment intended to intensify crop production, including, without limitation,",1,4
Agricultural Land Reserve Use Regulation,Provincial,Regulation,Controlled environment structures,"3.1
		  The use of agricultural land to construct, maintain or operate a controlled environment structure is designated as a farm use.",3.1,4
Agricultural Land Reserve Use Regulation,Provincial,Regulation,Necessary structures and ancillary services,(c) an aquaculture facility.,5,2
Agricultural Land Reserve Use Regulation,Provincial,Regulation,Forestry,"(c) producing and harvesting timber, including engaging in silviculture and forest protection activities.",10,2
Agricultural Land Reserve Use Regulation,Provincial,Regulation,Agri-tourism,(f) harvest festivals and other seasonal events held on the agricultural land for the purpose of promoting or marketing farm products produced on that agricultural land;,12,2
Agricultural Land Reserve Use Regulation,Provincial,Regulation,Alcohol production,"(a) at least 50% of the primary farm product used to make the alcohol product produced each year is harvested from the agricultural land on which the alcohol production facility is located, or",13,2
Agricultural Land Reserve Use Regulation,Provincial,Regulation,Alcohol production,"(i)  harvested from that agricultural land, or",13,2
Agricultural Land Reserve Use Regulation,Provincial,Regulation,Alcohol production,(ii)  both harvested from that agricultural land and received from a farm operation located in British Columbia that provides that primary farm product to the alcohol production facility under a contract having a term of at least 3 years.,13,2
Agricultural Land Reserve Use Regulation,Provincial,Regulation,Controlled environment structures,"13.1
		  The use of agricultural land to construct, maintain or operate a controlled environment structure may not be prohibited as described in section 4 if",13.1,4
Agricultural Land Reserve Use Regulation,Provincial,Regulation,Controlled environment structures,"(a) the structure that is being constructed, maintained or operated as a controlled environment structure was constructed or was under construction before August 31, 2022, and",13.1,4
Agricultural Land Reserve Use Regulation,Provincial,Regulation,Parks and similar areas,(c) a wildlife management area designated under the Wildlife Act;,16,3
Agricultural Land Reserve Use Regulation,Provincial,Regulation,Parks and similar areas,(f) an area established by order under section 7 (1) of the Environment and Land Use Act to protect the environment or restrict land or resource use within the area.,16,4
Agricultural Land Reserve Use Regulation,Provincial,Regulation,Parks and similar areas,"(a) an open land park established by a local government or a first nation government, other than an aboriginal governing body referred to in paragraph (b) of the definition of first nation government in the Act, for biodiversity conservation, passive recreation, heritage, wildlife or scenery viewing purposes;",22,3
Agricultural Land Reserve Use Regulation,Provincial,Regulation,Parks and similar areas,"(2) The use of agricultural land for biodiversity conservation, passive recreation, heritage, wildlife and scenery viewing purposes, other than in a park referred to in subsection (1) (a), is permitted, but may be prohibited as described in section 20, if both of the following conditions are met:",22,3
