Act Name,L1,L2
"Aboriginal Communal Fishing Licences Regulations, SOR/93-332",5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species"
"Agricultural Land Reserve Use Regulation, BC Reg 30/2019",2. Agriculture & Aquaculture,2.1 Annual & Perennial Non-Timber Crops
"Agriculture and Fishing Property (GST/HST) Regulations, SOR/91-39",5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species"
"Angling and Scientific Collection Regulation, BC Reg 125/90",5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species"
"Animal Products and Byproducts Regulation, BC Reg 2/2015",2. Agriculture & Aquaculture,2.4 Marine & Freshwater Aquaculture
"Aquaculture Activities Regulations, SOR/2015-177",2. Agriculture & Aquaculture,2.4 Marine & Freshwater Aquaculture
"Aquatic Invasive Species Regulations, SOR/2015-121","8. Invasive / Other Problematic Species, Genes & Pathogens",8.1 Invasive Non-Native / Alien Species
"British Columbia Salmon Marketing Council Regulation, BC Reg 302/91",5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species"
"British Columbia Sport Fishing Regulations, 1996, SOR/96-137",5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species"
"Canada National Marine Conservation Areas Act, SC 2002, c 18",Spacial Designation,NA
"Canada National Parks Act, SC 2000, c 32",Spacial Designation,NA
"Canadian Navigable Waters Act Fees Regulations, SOR/2024-148","4. Transportation, Service & Security Corridors",4.3 Shipping Lanes
"Certain Commercial Salmon Fishing Licences Fees Remission Order, SI/99-140",5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species"
"Classification of Land as a Farm Regulation, BC Reg 411/95",2. Agriculture & Aquaculture,2.4 Marine & Freshwater Aquaculture
"Coastal Fisheries Protection Act, RSC 1985, c C-33",5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species"
"Coastal Fisheries Protection Regulations, CRC, c 413",5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species"
"Code of Practice for Agricultural Environmental Management, BC Reg 8/2019",2. Agriculture & Aquaculture,2.1 Annual & Perennial Non-Timber Crops
"Community Charter, SBC 2003, c 26",Spacial Designation,NA
"Contaminated Sites Regulation, BC Reg 375/96",9. Pollution,9.1 Water-Borne & Other Effluent Pollution 
"Controlled Alien Species Regulation, BC Reg 94/2009","8. Invasive / Other Problematic Species, Genes & Pathogens",8.1 Invasive Non-Native / Alien Species
"Crown Land Fees Regulation, BC Reg 177/2003",Spacial Designation,NA
"Ecological Reserve Regulation, BC Reg 196/2023",Spacial Designation,NA
"Energy Resource Activities Act, SBC 2008, c 36",3. Energy Production & Mining,3.1 Oil & Gas Exploration & Extraction
"Energy Resource Road Regulation, BC Reg 56/2013","4. Transportation, Service & Security Corridors","4.1 Roads, Trails & Railroads"
"Environmental Management Act, SBC 2003, c 53",9. Pollution,9.1 Water-Borne & Other Effluent Pollution 
"Environmental Protection and Management Regulation, BC Reg 200/2010",7. Natural System Management & Modifications,7.2 Dams & Water Management / Use
"Farm Practices Protection (Right to Farm) Act, RSBC 1996, c 131",2. Agriculture & Aquaculture,2.1 Annual & Perennial Non-Timber Crops
"Farming and Fishing Industries Development Act, RSBC 1996, c 134",2. Agriculture & Aquaculture,2.1 Annual & Perennial Non-Timber Crops
"Feeds Regulations, 2024, SOR/2024-132",2. Agriculture & Aquaculture,2.4 Marine & Freshwater Aquaculture
"First Nations Oil and Gas and Moneys Management Act, SC 2005, c 48",3. Energy Production & Mining,3.1 Oil & Gas Exploration & Extraction
"Fish and Seafood Act, SBC 2015, c 14",2. Agriculture & Aquaculture,2.4 Marine & Freshwater Aquaculture
"Fish and Seafood Licensing Regulation, BC Reg 261/2016",2. Agriculture & Aquaculture,2.4 Marine & Freshwater Aquaculture
"Fisheries Act, RSC 1985, c F-14",5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species"
"Fishery (General) Regulations, SOR/93-53",5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species"
"Fishing Vessel Safety Regulations, CRC, c 1486",5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species"
"Foreign Missions and International Organizations Act, SC 1991, c 41",Governance and Structure,NA
"Foreign Vessel Fishing Regulations, CRC, c 815",5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species"
"Forest Act, RSBC 1996, c 157",5. Biological Resource Use & Control,"5.3 Logging, Harvesting & Controlling Trees"
"Forest and Range Practices Act, SBC 2002, c 69",5. Biological Resource Use & Control,"5.3 Logging, Harvesting & Controlling Trees"
"Forest Planning and Practices Regulation, BC Reg 14/2004",5. Biological Resource Use & Control,"5.3 Logging, Harvesting & Controlling Trees"
"Greater Vancouver Water District Act, SBC 1924, c 22",7. Natural System Management & Modifications,7.2 Dams & Water Management / Use
"Health of Animals Regulations, CRC, c 296",2. Agriculture & Aquaculture,2.4 Marine & Freshwater Aquaculture
"Impact Assessment Act, SC 2019, c 28, s 1",Governance and Structure,NA
"Integrated Pest Management Regulation, BC Reg 604/2004",9. Pollution,9.1 Water-Borne & Other Effluent Pollution 
"International Boundary Waters Treaty Act, RSC 1985, c I-17",7. Natural System Management & Modifications,7.2 Dams & Water Management / Use
"Land Values for Farm Land Regulation, BC Reg 276/84",2. Agriculture & Aquaculture,2.1 Annual & Perennial Non-Timber Crops
"Land-based Finfish Waste Control Regulation, BC Reg 68/94",2. Agriculture & Aquaculture,2.4 Marine & Freshwater Aquaculture
"Large Fishing Vessel Inspection Regulations, CRC, c 1435",5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species"
"List of Wildlife Species at Risk (Decisions Not to Add Certain Species) Order, SI/2010-14","Species Status, Assessment, and Research",NA
"Local Government Act, RSBC 2015, c 1",Governance and Structure,NA
"Maa-nulth First Nations Final Agreement Act, SBC 2007, c 43",Governance and Structure,NA
"Major Works Order, SOR/2019-320",7. Natural System Management & Modifications,7.2 Dams & Water Management / Use
"Marine Mammal Regulations, SOR/93-56",7. Natural System Management & Modifications,7.5 Biological System Management
"Metal and Diamond Mining Effluent Regulations, SOR/2002-222",3. Energy Production & Mining,3.2 Mining & Quarrying
"Musquash Estuary Marine Protected Area Regulations, SOR/2006-354",Spacial Designation,NA
"National Parks of Canada Fishing Regulations, CRC, c 1120",5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species"
"Order Acknowledging Receipt of the Assessments Done Pursuant to Subsection 23(1) of the Species at Risk Act, SI/2004-48","Species Status, Assessment, and Research",NA
"Order Declining to  make an Emergency Order for the protection of the Killer Whale Northeast Pacific Southern Resident Population, SI/2018-102",7. Natural System Management & Modifications,7.5 Biological System Management
"Order Designating Certain Excluded Classes of Projects, SOR/2025-60",Governance and Structure,NA
"Order Giving Notice of Decisions not to add Certain Species to the List of Endangered Species, SI/2005-2","Species Status, Assessment, and Research",NA
"Order Giving Notice of Decisions not to add Certain Species to the List of Endangered Species, SI/2006-61","Species Status, Assessment, and Research",NA
"Pacific Aquaculture Regulations, SOR/2010-270",2. Agriculture & Aquaculture,2.4 Marine & Freshwater Aquaculture
"Pacific Fishery Regulations, 1993, SOR/93-54",5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species"
"Pacific North Coast Native Cooperative Act Regulations, BC Reg 61/74",5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species"
"Pacific Salmon Commission Privileges and Immunities Order, SOR/86-501",Governance and Structure,NA
"Park, Conservancy and Recreation Area Regulation, BC Reg 180/90",Spacial Designation,NA
"Permit Regulation, BC Reg 253/2000",5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species"
"Physical Activities Regulations, SOR/2019-285",Governance and Structure,NA
"Private Managed Forest Land Act, SBC 2003, c 80",5. Biological Resource Use & Control,"5.3 Logging, Harvesting & Controlling Trees"
"Private Managed Forest Land Council Matters Regulation, BC Reg 372/2004",5. Biological Resource Use & Control,"5.3 Logging, Harvesting & Controlling Trees"
"Private Managed Forest Land Council Regulation, 2007, BC Reg 182/2007",5. Biological Resource Use & Control,"5.3 Logging, Harvesting & Controlling Trees"
"Pulp and Paper Effluent Regulations, SOR/92-269",9. Pollution,9.1 Water-Borne & Other Effluent Pollution 
"Range Planning and Practices Regulation, BC Reg 19/2004",2. Agriculture & Aquaculture,"2.3 Terrestrial Animal Farming, Ranching & Herding"
"Reportable and Notifiable Disease Regulation, BC Reg 7/2015","8. Invasive / Other Problematic Species, Genes & Pathogens",8.4 Pathogens
"Riparian Areas Protection Act, SBC 1997, c 21",7. Natural System Management & Modifications,7.2 Dams & Water Management / Use
"Riparian Areas Protection Regulation, BC Reg 178/2019",7. Natural System Management & Modifications,7.2 Dams & Water Management / Use
"Safe Food for Canadians Regulations, SOR/2018-108",2. Agriculture & Aquaculture,2.4 Marine & Freshwater Aquaculture
"Specialty Farm Operations Regulation, BC Reg 53/99",2. Agriculture & Aquaculture,"2.3 Terrestrial Animal Farming, Ranching & Herding"
"Species at Risk Act, SC 2002, c 29","Species Status, Assessment, and Research",NA
"Spill Contingency Planning Regulation, BC Reg 186/2017",9. Pollution,9.1 Water-Borne & Other Effluent Pollution 
"Spill Reporting Regulation, BC Reg 187/2017",9. Pollution,9.1 Water-Borne & Other Effluent Pollution 
"The Hunting and Fishing Heritage Act, SBC 2002, c 79",5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species"
"Tla'amin Final Agreement Act, SBC 2013, c 2",Governance and Structure,NA
"Tree Farm Licence Management Plan Regulation, BC Reg 280/2009",2. Agriculture & Aquaculture,2.2 Wood & Pulp Plantations
"Tsawwassen First Nation Final Agreement Act, SBC 2007, c 39",Governance and Structure,NA
"Vancouver Charter, SBC 1953, c 55",Spacial Designation,NA
"Waste Discharge Regulation, BC Reg 320/2004",9. Pollution,9.1 Water-Borne & Other Effluent Pollution 
"Wastewater Systems Effluent Regulations, SOR/2012-139",9. Pollution,9.1 Water-Borne & Other Effluent Pollution 
"Water Sustainability Act, SBC 2014, c 15",7. Natural System Management & Modifications,7.2 Dams & Water Management / Use
"Water Sustainability Regulation, BC Reg 36/2016",7. Natural System Management & Modifications,7.2 Dams & Water Management / Use
"Wildlife Act Commercial Activities Regulation, BC Reg 338/82",5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species"
"Wildlife Act General Regulation, BC Reg 340/82",5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species"
"Wildlife Act, RSBC 1996, c 488",5. Biological Resource Use & Control,"5.4 Fishing, Harvesting & Controlling Aquatic Species"
"Woodlot Licence Planning and Practices Regulation, BC Reg 21/2004",5. Biological Resource Use & Control,"5.3 Logging, Harvesting & Controlling Trees"
"Wrecked, Abandoned or Hazardous Vessels Act, SC 2019, c 1",9. Pollution,9.1 Water-Borne & Other Effluent Pollution 
