Type,Keyword
1,salmon
1,Chinook
1,"""Interior coho"""
1,sockeye
2,fish
2,stream
2,"""aquatic habitat"""
2,"""aquatic ecosystem"""
2,groundwater
2,angling
2,fishing
2,riparian
2,fishery
2,fisheries
2,"""aquatic invasive"""
2,harvest
2,aquaculture
2,hatch
2,flow
2,guide
2,observers
2,fishery
2,passage
3,stocks
3,zones
3,deleterious
2,angler
2,diversion
2,lakeshore
3,mussels
2,nets
2,obstruction
2,rivers
2,streamside
3,wildlife
3,vertebrate
3,dike
3,wastewater
3,fauna
3,watershed
3,"""water course"""
3,watercourse
3,dams
3,diversion
3,dikes
3,disease
4,environment
4,ecosystem
4,biodiversity
4,sewage
4,toxin
4,stewardship
4,oceans
4,landscape
4,wilderness
4,shelf
